Type,City,Rooms,Price,lat,lng,type,year,lot size,Driveway,Garage,Basement,Risk Level
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
Condo,Le Plateau-Mont-Royal,10 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,499000,45.4788193,-73.56969365,Divided,2008,1255,0,1,,0.25
Duplex,Saint-Léonard,,619000,45.58066385,-73.59796346,Semi-detached,1964,3990,1,2,Basement 6 feet or +,0.0
Triplex,Rivière-des-Prairies/Pointe-aux-Trembles,,549900,45.65487,-73.492894,Detached,1989,6749,3,0,Basement 6 feet or +,0.0
House,Ahuntsic-Cartierville,9 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,575000,45.52971,-73.725846,Bungalow Detached,1959,3240,1,1,,0.0
Condo,Ville-Marie,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,749500,45.50267106,-73.56860059,Divided,2013,1116,0,1,Adapted for reduced mobility Elevator,0.0
Townhouse,Rosemont/La,8 Rooms  2+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,549000,45.555872,-73.56394,More than one storey Attached,1999,1171,0,0,,0.25
House,Dorval,9 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,869000,45.441632,-73.768998,Two or more storey Detached,1950,10198,7,2,Basement 6 feet or +,0.0
Condo,Verdun/Île-des-Soeurs,9 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,875000,45.46283395,-73.54150429,Divided,1991,1865,0,2,Located on a fleuve (river) Elevator,0.0
House,L'Île-Bizard/Sainte-Geneviève,11 Rooms  2+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,397000,45.495634,-73.881658,Two or more storey Detached,1985,5110,4,1,Basement 6 feet or +,0.0
House,Dollard-Des,8 Rooms  3+0 Bedrooms  1+0 Bathroom/Powder room  ,319000,45.49168904,-73.78159871,One-and-a-half-storey Detached,1983,5917,3,0,Basement 6 feet or +,0.0
Condo,Mercier/Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,230000,45.557508,-73.537386,Divided,2012,333,0,0,,0.25
House,Rivière-des-Prairies/Pointe-aux-Trembles,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,485000,45.635609,-73.602656,Bungalow Detached,1983,5615,1,1,Basement 6 feet or +,1.0
Duplex,LaSalle,,599000,45.424958,-73.654131,Detached,1940,5118,0,0,,0.3
House,Anjou,13 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,775000,45.605486,-73.54668,Two or more storey Semi-detached,1962,3884,0,2,Basement 6 feet or +,0.0
5plex,Le Plateau-Mont-Royal,,1299000,45.535239,-73.583477,Attached,1922,3024,1,0,,0.0
Condo,Ville-Marie,3 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,245900,45.497213,-73.58112,Undivided,1907,,0,0,,0.0
Condo,Le Plateau-Mont-Royal,12 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,330000,45.463318,-73.590809,Divided,1988,947,0,1,,0.25
Condo,Le Plateau-Mont-Royal,12 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,1800000,45.51649143,-73.56889188,Divided,2006,1495,0,2,Adapted for reduced mobility Elevator,0.4
Triplex,Villeray/Saint-Michel/Parc-Extension,,775000,45.54227,-73.618004,Attached,1964,2175,1,1,,0.65
Triplex,Verdun/Île-des-Soeurs,,925000,45.44412474,-73.57716108,Detached,1955,3023,0,0,,0.0
